Lab Data from MenloSensor
04/20/2015

Sunny day monitoring from about 12:26 PM on

Battery started mostly discharged 12:16 PM

No light flashing due to day/night program

Microcontroller always on at default 8Mhz ceramic resonator
  - No microcontroller power saving programmed as of yet

Radio on new power control program with radio power off after
250ms.

30 second update rate that automatically powers on the radio,
reads the sensors and sends the data update.

Need current measurements for:

  - In radio power off state

  - 70-85ma with radio powered on from previous testing

600ma hour single cell AA NiCD battery 1.25v

In the past can expect the device go shutoff when battery
gets below 0.90v
2015/04/20 13:47:29: 03E0.01B2.020E.015A.0000 battery 1.400V solar 1.697V 
2015/04/20 13:47:59: 03DF.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 13:48:29: 03DF.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 13:48:59: 03DE.01BA.020E.0162.0000 battery 1.426V solar 1.697V 
2015/04/20 13:49:29: 03DF.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 13:49:59: 03E0.01B9.020D.0162.0000 battery 1.423V solar 1.694V 
2015/04/20 13:50:29: 03DF.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 13:50:59: 03E1.01AE.0205.0162.0000 battery 1.387V solar 1.668V 
2015/04/20 13:51:29: 03DE.01BB.0202.0162.0000 battery 1.429V solar 1.658V 
2015/04/20 13:51:59: 03DF.01AE.0200.0162.0000 battery 1.387V solar 1.652V 
2015/04/20 13:52:29: 03E1.01AF.0208.0162.0000 battery 1.390V solar 1.677V 
2015/04/20 13:52:59: 03DF.01BB.020F.0162.0000 battery 1.429V solar 1.700V 
2015/04/20 13:53:29: 03DE.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
2015/04/20 13:53:59: 03DE.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
2015/04/20 13:54:29: 03DF.01BB.020F.0162.0000 battery 1.429V solar 1.700V 
2015/04/20 13:54:59: 03E1.01B4.020F.0163.0000 battery 1.406V solar 1.700V 
2015/04/20 13:55:29: 03E0.01B5.0202.0163.0000 battery 1.410V solar 1.658V 
2015/04/20 13:55:59: 03DF.01BC.020F.0162.0000 battery 1.432V solar 1.700V 
2015/04/20 13:56:29: 03E0.01BC.0210.015B.0000 battery 1.432V solar 1.703V 
2015/04/20 13:56:59: 03DF.01BB.0210.0161.0000 battery 1.429V solar 1.703V 
2015/04/20 13:57:29: 03E0.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
2015/04/20 13:57:59: 03E0.01B8.020E.0163.0000 battery 1.419V solar 1.697V 
2015/04/20 13:58:29: 03DF.01BB.020F.0164.0000 battery 1.429V solar 1.700V 
2015/04/20 13:58:59: 03DF.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
2015/04/20 13:59:28: 03E0.01BC.020F.0164.0000 battery 1.432V solar 1.700V 
2015/04/20 13:59:58: 03DF.01BC.0210.0164.0000 battery 1.432V solar 1.703V 
2015/04/20 14:00:28: 03E0.01BC.0210.0164.0000 battery 1.432V solar 1.703V 
2015/04/20 14:00:58: 03E0.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
2015/04/20 14:01:28: 03E0.01BC.0210.015F.0000 battery 1.432V solar 1.703V 
2015/04/20 14:01:58: 03DF.01BC.020F.0163.0000 battery 1.432V solar 1.700V 
2015/04/20 14:02:28: 03E0.01BC.0210.0164.0000 battery 1.432V solar 1.703V 
2015/04/20 14:02:58: 03DF.01BB.0203.0163.0000 battery 1.429V solar 1.661V 
2015/04/20 14:03:28: 03E1.01BB.0202.0163.0000 battery 1.429V solar 1.658V 
2015/04/20 14:03:58: 03E0.01BC.020F.0164.0000 battery 1.432V solar 1.700V 
2015/04/20 14:04:28: 03DF.01BC.020F.0163.0000 battery 1.432V solar 1.700V 
